source_table,resource_type,resource_id,resource_name,vehicle_class,transmission,skill_or_requirement,schedule_note,slot_index,slot_start_min,slot_end_min,slot_start,slot_end,raw_value,is_available
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,0,0,5,00:00,00:05,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,1,5,10,00:05,00:10,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,2,10,15,00:10,00:15,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,3,15,20,00:15,00:20,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,4,20,25,00:20,00:25,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,5,25,30,00:25,00:30,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,6,30,35,00:30,00:35,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,7,35,40,00:35,00:40,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,8,40,45,00:40,00:45,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,9,45,50,00:45,00:50,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,10,50,55,00:50,00:55,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,11,55,60,00:55,01:00,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,12,60,65,01:00,01:05,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,13,65,70,01:05,01:10,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,14,70,75,01:10,01:15,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,15,75,80,01:15,01:20,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,16,80,85,01:20,01:25,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,17,85,90,01:25,01:30,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,18,90,95,01:30,01:35,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,19,95,100,01:35,01:40,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,20,100,105,01:40,01:45,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,21,105,110,01:45,01:50,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,22,110,115,01:50,01:55,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,23,115,120,01:55,02:00,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,24,120,125,02:00,02:05,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,25,125,130,02:05,02:10,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,26,130,135,02:10,02:15,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,27,135,140,02:15,02:20,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,28,140,145,02:20,02:25,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,29,145,150,02:25,02:30,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,30,150,155,02:30,02:35,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,31,155,160,02:35,02:40,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,32,160,165,02:40,02:45,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,33,165,170,02:45,02:50,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,34,170,175,02:50,02:55,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,35,175,180,02:55,03:00,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,36,180,185,03:00,03:05,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,37,185,190,03:05,03:10,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,38,190,195,03:10,03:15,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,39,195,200,03:15,03:20,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,40,200,205,03:20,03:25,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,41,205,210,03:25,03:30,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,42,210,215,03:30,03:35,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,43,215,220,03:35,03:40,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,44,220,225,03:40,03:45,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,45,225,230,03:45,03:50,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,46,230,235,03:50,03:55,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,47,235,240,03:55,04:00,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,48,240,245,04:00,04:05,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,49,245,250,04:05,04:10,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,50,250,255,04:10,04:15,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,51,255,260,04:15,04:20,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,52,260,265,04:20,04:25,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,53,265,270,04:25,04:30,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,54,270,275,04:30,04:35,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,55,275,280,04:35,04:40,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,56,280,285,04:40,04:45,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,57,285,290,04:45,04:50,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,58,290,295,04:50,04:55,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,59,295,300,04:55,05:00,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,60,300,305,05:00,05:05,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,61,305,310,05:05,05:10,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,62,310,315,05:10,05:15,T,True
vehicle_schedule,vehicle,1001,1001,승용차,자동,소형 기량자 이상,,63,315,320,05:15,05:20,T,True
