request_id,request_type,requested_vehicle_id,required_vehicle_class,driver_raw,destination,requesting_unit,purpose,start_min,end_min,start_time,end_time,duration_min,priority_initial,source_table,is_other,requires_driver,driver_mode
REQ_001,장거리 배차,,5톤 화물차,,경상북도(공항중학교),항공정비전대,트레일러 대여,480,1020,08:00,17:00,540.0,3,requests_raw,False,True,MILITARY_DRIVER_REQUIRED
REQ_002,단거리 배차,,소형 버스(스타리아),Other,수원 화성,복지대대,요원 교육,480,1020,08:00,17:00,540.0,2,requests_raw,True,False,OTHER_DIRECT_DRIVER
REQ_003,단거리 배차,,지프,Other,성남,공병대대,병사 인솔,480,1020,08:00,17:00,540.0,2,requests_raw,True,False,OTHER_DIRECT_DRIVER
REQ_004,단거리 배차,,5톤 화물차,Other,평택,수송대대,중형 단거리 운전교육,480,690,08:00,11:30,210.0,2,requests_raw,True,False,OTHER_DIRECT_DRIVER
REQ_005,단거리 배차,,5톤 화물차,Other,평택,수송대대,중형 단거리 운전교육,780,1020,13:00,17:00,240.0,2,requests_raw,True,False,OTHER_DIRECT_DRIVER
REQ_006,영내 수시 배차,,1톤 원캡 트럭,Other,영내,수송대대,행정 업무,480,1020,08:00,17:00,540.0,1,requests_raw,True,False,OTHER_DIRECT_DRIVER
REQ_007,영내 수시 배차,,5톤 급유차,,영내,보급대대,난방유 보급,480,1020,08:00,17:00,540.0,1,requests_raw,False,True,MILITARY_DRIVER_REQUIRED
REQ_008,영내 수시 배차,,9톤 화물차,,영내,단본부,재활용품 반납,480,690,08:00,11:30,210.0,1,requests_raw,False,True,MILITARY_DRIVER_REQUIRED
REQ_009,영내 수시 배차,,5톤 화물차,,영내,항공정비전대,재활용품 반납,540,690,09:00,11:30,150.0,1,requests_raw,False,True,MILITARY_DRIVER_REQUIRED
REQ_010,영내 수시 배차,,5톤 화물차,,영내,부품정비대대,재활용품 반납,780,1020,13:00,17:00,240.0,1,requests_raw,False,True,MILITARY_DRIVER_REQUIRED
REQ_011,영내 수시 배차,,9톤 화물차,,영내,수송대대,재활용품 반납,480,720,08:00,12:00,240.0,1,requests_raw,False,True,MILITARY_DRIVER_REQUIRED
REQ_012,영내 수시 배차,,9톤 화물차,,영내,복지대대,재활용품 반납,810,870,13:30,14:30,60.0,1,requests_raw,False,True,MILITARY_DRIVER_REQUIRED
REQ_013,영내 수시 배차,,9톤 화물차,,영내,복지대대,재활용품 반납,780,930,13:00,15:30,150.0,1,requests_raw,False,True,MILITARY_DRIVER_REQUIRED
REQ_014,영내 수시 배차,,1톤 더블캡 트럭,,영내,수송대대,소형 영내 운전교육,480,690,08:00,11:30,210.0,1,requests_raw,False,True,MILITARY_DRIVER_REQUIRED
