vehicle_id,vehicle_number,vehicle_class,vehicle_class_raw,transmission,required_skill_text,notes,is_rental,is_electric,is_maintenance_or_unavailable
1001,1001,승용차,승용차,자동,소형 기량자 이상,,False,False,False
1420,1420,승용차,승용차,자동,소형 기량자 이상,대여,True,False,False
1421,1421,승용차,승용차,자동,소형 기량자 이상,,False,False,False
4979,4979,승용차,승용차,자동,소형 기량자 이상,,False,False,False
4982,4982,승용차,승용차,자동,소형 기량자 이상,,False,False,False
1606,1606,지프,지프,자동,소형 기량자 이상,,False,False,False
2161,2161,1톤 원캡 트럭,1톤 원캡 트럭,자동,소형 기량자 이상,전기차,False,True,False
2165,2165,1톤 원캡 트럭,1톤 원캡 트럭,자동,소형 기량자 이상,,False,False,False
2166,2166,1톤 원캡 트럭,1톤 원캡 트럭,자동,소형 기량자 이상,,False,False,False
2163,2163,1톤 더블캡 트럭,1톤 더블캡 트럭,자동,소형 기량자 이상,,False,False,False
2167,2167,1톤 더블캡 트럭,1톤 더블캡 트럭,수동,소형 기량자 이상,대여,True,False,False
2169,2169,1톤 더블캡 트럭,1톤 더블캡 트럭,수동,소형 기량자 이상,,False,False,False
2168,2168,승합 화물차,승합 화물차,자동,소형 기량자 이상,,False,False,False
7039,7039,소형 버스(스타리아),소형 버스(스타리아),자동,소형 기량자 이상,,False,False,False
7054,7054,소형 버스(스타리아),소형 버스(스타리아),자동,소형 기량자 이상,,False,False,False
3013,3013,이동배식차,이동배식차,수동,소형 기량자 이상,,False,False,False
3015,3015,이동배식차,이동배식차,수동,소형 기량자 이상,,False,False,False
2201,2201,5톤 화물차,5톤 화물차,자동,중형 기량자 이상,,False,False,False
2202,2202,5톤 화물차,5톤 화물차,수동,중형 기량자 이상,,False,False,False
2203,2203,5톤 화물차,5톤 화물차,수동,중형 기량자 이상,,False,False,False
2205,2205,5톤 화물차,5톤 화물차,수동,중형 기량자 이상,대여,True,False,False
2301,2301,9톤 화물차,9톤 화물차,수동,중형 기량자 이상,영내 배차만 가능,False,False,False
2304,2304,9톤 화물차,9톤 화물차,자동,중형 기량자 이상,,False,False,False
351,351,5톤 급유차,5톤 급유차,수동,중형 기량자 이상,,False,False,False
353,353,5톤 급유차,5톤 급유차,수동,중형 기량자 이상,,False,False,False
3014,3014,5톤 부식차,5톤 부식차,수동,중형 기량자 이상,입고,False,False,True
3042,3042,25톤 트렉터,25톤 트렉터,자동,중형 기량자 이상,,False,False,False
3001,3001,비상급식차,비상급식차,수동,중형 기량자 이상,,False,False,False
2207,2207,5톤 윙바디,5톤 윙바디,수동,중형 기량자 이상,,False,False,False
7042,7042,24인승 중형 버스,24인승 중형 버스,자동,대형 기량자 이상,,False,False,False
7044,7044,24인승 중형 버스,24인승 중형 버스,수동,대형 기량자 이상,,False,False,False
7041,7041,15인승 중형 버스,15인승 중형 버스,수동,대형 기량자 이상,VIP 배차 시 사용,False,False,False
7043,7043,15인승 중형 버스,15인승 중형 버스,자동,대형 기량자 이상,,False,False,False
7001,7001,고속버스,고속 버스,수동,대형 기량자 이상,,False,False,False
7002,7002,고속버스,고속 버스,수동,대형 기량자 이상,,False,False,False
7003,7003,고속버스,고속 버스,수동,대형 기량자 이상,영내 배차만 가능,False,False,False
7004,7004,고속버스,고속 버스,수동,대형 기량자 이상,,False,False,False
7005,7005,고속버스,고속 버스,수동,대형 기량자 이상,,False,False,False
7006,7006,고속버스,고속 버스,수동,대형 기량자 이상,,False,False,False
7011,7011,대형 버스 (42인승),대형 버스 (42인승),수동,대형 기량자 이상,영내 배차만 가능,False,False,False
7012,7012,대형 버스 (42인승),대형 버스 (42인승),수동,대형 기량자 이상,영내 배차만 가능,False,False,False
7017,7017,대형 버스 (42인승),대형 버스 (42인승),수동,대형 기량자 이상,영내 배차만 가능,False,False,False
7018,7018,대형 버스 (42인승),대형 버스 (42인승),수동,대형 기량자 이상,,False,False,False
7019,7019,대형 버스 (42인승),대형 버스 (42인승),수동,대형 기량자 이상,,False,False,False
7020,7020,대형 버스 (42인승),대형 버스 (42인승),수동,대형 기량자 이상,,False,False,False
660,660,22000톤 지게차,22000톤 지게차,수동,지게차 면허증 소지자 (간부),,False,False,False
674,674,6000톤 지게차,6000톤 지게차,수동,지게차 면허증 소지자 (간부),,False,False,False
517,517,3톤 구난차,3톤 구난차,수동,구난차 면허증 소지자 (간부),,False,False,False
518,518,10톤 구난차,10톤 구난차,자동,구난차 면허증 소지자 (간부),,False,False,False
